Neighborhood,Arrest_score,K12_score,Park_score,Total_score
West End,96.88995215311004,11.440677966101697,9.090909090909093,44.91545697834726
Lower Lawrenceville,95.69377990430623,2.203389830508473,18.181818181818176,44.39307436542048
Point Breeze North,95.2153110047847,1.6949152542372836,18.181818181818176,44.049144432730515
Stanton Heights,95.69377990430623,16.779661016949156,0.0,43.311410266807236
Squirrel Hill North,94.01913875598086,18.559322033898308,0.0,43.17545211256184
Polish Hill,99.04306220095694,2.203389830508473,9.090909090909093,43.005514556808045
Esplen,98.32535885167464,11.101694915254235,0.0,42.66065201524613
Windgap,96.88995215311004,11.101694915254235,0.0,42.08648933582029
Fairywood,96.41148325358851,11.101694915254235,0.0,41.89510177601168
West Oakland,97.8468899521531,7.6271186440677985,0.0,41.42689157408159
Morningside,97.8468899521531,4.74576271186441,0.0,40.56248479442057
South Side Flats,66.02870813397129,0.0,45.45454545454546,40.047846889952154
Strip District,88.27751196172248,2.203389830508473,9.090909090909093,38.69929446111426
Bluff,80.622009569378,7.6271186440677985,0.0,34.536939420971535
Outside County,100.0,,,
Ridgemont,99.76076555023923,35.67796610169491,,
Chartiers City,99.76076555023923,11.101694915254235,,
Arlington Heights,99.52153110047847,55.762711864406775,,
Summer Hill,99.2822966507177,56.271186440677965,,
Mount Oliver,99.2822966507177,,,
St. Clair,99.04306220095694,55.762711864406775,,
Allegheny West,99.04306220095694,20.508474576271183,,
South Shore,98.80382775119617,,,
Glen Hazel,98.56459330143541,44.57627118644068,,
Friendship,98.56459330143541,15.423728813559324,,
Outside State,98.32535885167464,,,
Homewood West,98.08612440191388,,0.0,
Upper Hill,97.36842105263158,,0.0,
South Oakland,96.88995215311004,,36.36363636363637,
Overbrook,96.41148325358851,13.135593220338981,,
Northview Heights,96.41148325358851,56.271186440677965,,
Terrace Village,96.41148325358851,,9.090909090909093,
Spring Hill-City View,96.17224880382776,,18.181818181818176,
Outside City,95.93301435406698,,,
California-Kirkbride,94.73684210526316,,,
North Shore,94.49760765550239,,18.181818181818176,
Chateau,93.77990430622009,20.508474576271183,,
Central Lawrenceville,93.77990430622009,,0.0,
Bedford Dwellings,93.54066985645933,,0.0,
Central Oakland,92.82296650717703,,27.27272727272727,
Middle Hill,91.86602870813397,,0.0,
North Oakland,89.95215311004785,,0.0,
Central North Side,89.71291866028709,,,
East Allegheny,87.5598086124402,13.813559322033896,,
Homewood South,87.5598086124402,,0.0,
Knoxville,86.60287081339713,46.186440677966104,,
Shadyside,83.97129186602871,7.711864406779656,,
Crawford-Roberts,83.2535885167464,,18.181818181818176,
Central Business District,0.0,,81.81818181818181,
